"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Ixigo Flight Automation","0","Ixigo combined flow","1","0","Booking flow reaches traveller details","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Decline cancellation","0"
"0","Ixigo Flight Automation","0","Ixigo combined flow","1","0","Print flight results","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Apply nonstop filter","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Print results","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Booking page","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Continue and confirm","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Open site","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Select seat","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Fill traveller","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Login","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Sort by price","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Payment page","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Click book","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Skip to payment","0"
"0","Ixigo Flight Automation","0","Ixigo combined flow","1","0","Search without destination should not navigate to results","0"
"0","Ixigo Flight Automation","0","Ixigo combined flow","1","0","Flight count and book buttons are visible","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Add-ons page","0"
"0","Ixigo Flight Automation","0","Ixigo combined flow","1","0","Search BOM to BLR flights","0"
"0","Ixigo Flight Automation","0","Ixigo full end-to-end booking","1","0","Search flights","0"
"0","Ixigo Flight Automation","0","Ixigo combined flow","1","0","Open ixigo page","0"
"0","Ixigo Flight Automation","0","Ixigo combined flow","1","0","Page elements are present","0"
"0","Ixigo Flight Automation","0","Ixigo combined flow","1","0","Apply nonstop filter and sort by price","0"
"0","Ixigo Flight Automation","0","Ixigo combined flow","1","0","Same source and destination should not navigate to results","0"
